key.country_id,vertical_name,key.gender,key.age,value.bounces,value.visits,value.new_visitors,value.transactions
US,/Travel,female,18-24,8477637,22794890,13266317,585747
US,/Travel,female,25-34,17652452,52041775,26342669,1038299
US,/Travel,female,35-44,13444187,36355238,18279470,426999
US,/Travel,female,45-54,8323519,22121842,11375743,215921
US,/Travel,female,55-64,8230706,21984890,11425419,203166
US,/Travel,female,65+,4410700,11563291,5744695,121693
US,/Travel,male,18-24,4151937,10162903,5922966,281508
US,/Travel,male,25-34,13166642,36113608,18595836,771408
US,/Travel,male,35-44,7468407,19752000,10167111,235773
US,/Travel,male,45-54,7952470,20691302,10510179,177071
US,/Travel,male,55-64,5623147,14223122,7170897,106087
US,/Travel,male,65+,4502267,11119193,5473179,114582
US,/Sports,female,18-24,3647242,10342664,5479637,77339
US,/Sports,female,25-34,5612227,14557936,6754615,79885
US,/Sports,female,35-44,4568634,13526197,5453488,85154
US,/Sports,female,45-54,2894168,9204596,3194568,68284
US,/Sports,female,55-64,2605083,9444704,2862680,52280
US,/Sports,female,65+,1254559,4737624,1285269,19975
US,/Sports,male,18-24,11135535,30910899,11603142,79442
US,/Sports,male,25-34,27327937,71482429,23551480,144289
US,/Sports,male,35-44,14708513,42166255,12588241,98832
US,/Sports,male,45-54,12628984,38760031,10993837,94432
US,/Sports,male,55-64,8958179,28422542,7301836,45868
US,/Sports,male,65+,5950823,19059225,4618884,38070
US,/Shopping,female,18-24,29652479,93238944,42377737,1038979
US,/Shopping,female,25-34,48727212,138184890,57868670,1694706
US,/Shopping,female,35-44,26181290,73171455,29419847,1051165
US,/Shopping,female,45-54,15225403,44170021,17059713,819490
US,/Shopping,female,55-64,18247527,55230971,20484317,1285136
US,/Shopping,female,65+,10728727,33140838,10398801,1059148
US,/Shopping,male,18-24,16358633,44744669,17128463,445391
US,/Shopping,male,25-34,63143142,156988287,33357532,989162
US,/Shopping,male,35-44,23763350,62876829,13963017,404429
US,/Shopping,male,45-54,12056664,33108944,11279881,515103
US,/Shopping,male,55-64,7460188,21475306,7843525,515433
US,/Shopping,male,65+,6288749,17756532,5770879,585951
US,/Science,female,18-24,7742836,14510306,6296089,1436
US,/Science,female,25-34,3217559,5900220,2896818,6172
US,/Science,female,35-44,4804913,18490989,3595031,4380
US,/Science,female,45-54,921755,2481634,865270,3515
US,/Science,female,55-64,742235,1603565,645195,4068
US,/Science,female,65+,304323,841903,247096,2942
US,/Science,male,18-24,6529878,11756134,5378809,922
US,/Science,male,25-34,9345335,13279342,7324126,6259
US,/Science,male,35-44,2594683,6415027,2123764,4727
US,/Science,male,45-54,1820544,3347799,1404319,3477
US,/Science,male,55-64,1825903,3353976,1038562,2411
US,/Science,male,65+,1439381,2899484,756574,2892
US,/Reference,female,18-24,3797820,8320886,5559934,15490
US,/Reference,female,25-34,3774596,8605739,5787930,28356
